Date,EUR,JPY,GBP,AUD,CAD,CHF,CNY,HKD,NZD,SEK,KRW,SGD,NOK,MXN,INR,RUB,ZAR,TRY,BRL
2022-10-21,0.9852714747781424,0.0068278102647829,1.1291501755442033,0.636650186091573,0.7309843453402631,1.0013753134095835,0.1380593632252973,0.1273857545122094,0.5752169847847461,0.0891764727149293,0.0006980167343461,0.7051474657995856,0.0949301382295829,0.0502451811866916,0.0121076019704045,0.0162130534910292,0.0551567563815054,0.0537532861980818,0.1931312860658557
2022-10-22,0.9861084897954814,0.0067733937822409,1.1305060363899768,0.6364671216898218,0.7327280674960495,1.0023372186256445,0.1382596669310392,0.1273946377850922,0.5763450575317162,0.0892962726215909,0.0006998097516635,0.7066113040540319,0.0939645163590822,0.0501810079710834,0.0121161388479098,0.0162208144607414,0.0552698123423238,0.0538103405215038,0.1934969256709585
2022-10-23,0.986294076971897,0.0067839653025265,1.1306833916438022,0.6381387672825604,0.7343589635002147,1.0026027059453575,0.1387041491954488,0.1273988971192101,0.5789885724411435,0.0893049381078059,0.0006998639075334,0.7066068035000357,0.0928408605679625,0.0501080670484917,0.0121228515617207,0.0162343664164908,0.0546661251084505,0.0538105482730364,0.1936491095373113
2022-10-24,0.98749297371303,0.006722704622197,1.129399016490499,0.6309322334027838,0.7297661591936672,0.9992505758518746,0.1376719093297357,0.1273913155166224,0.5690730985637505,0.089416311318052,0.0006927038960672,0.7034364453385125,0.095059329415951,0.0501277338277684,0.0120763515115594,0.0161637330519903,0.0543217606360931,0.0537552267622416,0.1894043038453191
2022-10-25,0.9961627339555366,0.0067649452026248,1.1470492213117225,0.639560378140426,0.7344501316233566,1.0040684626781582,0.137344846941548,0.1273954224979836,0.5763054520930933,0.0910351479378986,0.000700705145326,0.7060108191623208,0.096288449224649,0.0503421445850636,0.0121229537465482,0.0162155375447037,0.0549067245522811,0.0537738688593735,0.1891363071887316
2022-10-26,1.0063831232184308,0.006823634745315,1.1606812763457166,0.6495942945220426,0.7376947521095394,1.0132724437220182,0.1394027508486143,0.1273906036658948,0.5830742149553709,0.0920093504801717,0.00070804165821,0.711383899051475,0.0974735881692599,0.0503231969351449,0.0121934899780117,0.0163437619667444,0.0556980051934897,0.0537467084150187,0.1878312225566376
2022-10-27,0.9984764745687524,0.0068487819172266,1.1570725096236347,0.6475777590621631,0.7388018697906338,1.010221598680188,0.1383462060324722,0.127403894379733,0.584393670229218,0.0914266862849784,0.0007050569673176,0.7104013294942704,0.0975846213879362,0.0504047239946427,0.0121414160389356,0.0162213944633113,0.0558093398879981,0.0537791538752151,0.189110676013098
2022-10-28,0.993394707405827,0.0067704919835114,1.1572552241155412,0.6396219593615521,0.7340377519847677,1.003186477310643,0.137886647496537,0.127399697749396,0.5792569402942954,0.0909899088359181,0.0007016145457574,0.7078918783329172,0.096469996311746,0.0504268072884024,0.012143191909087,0.0162671253190469,0.0550104374546705,0.0537347289746813,0.1866431952159814
2022-10-29,0.9964167971555432,0.0067808272924952,1.1613908646417055,0.6415389797835879,0.7337659091442313,1.0039841702280403,0.1380250084632369,0.1274017347779422,0.5813887641899944,0.0913585146460361,0.0007032381933788,0.7075559506940793,0.0969548577801018,0.05048386807162,0.0121513505202675,0.0162538328626059,0.0551495769678652,0.0538095960964232,0.1884853346246434
2022-10-30,0.9950937153323725,0.0067809036128981,1.161322964582837,0.6419035167929561,0.7347368065137043,1.0036753604703803,0.1382859115099705,0.1273977062167071,0.581496851008578,0.0913781810636562,0.0007030981351966,0.7087853285632532,0.0968099442152884,0.0504751163595774,0.0121519935014217,0.0162538116389765,0.0552943638415738,0.0538145198716876,0.1888008562306861
